Scenario Name,Date,Euro area real GDP growth,Euro area inflation,Euro area bilateral dollar exchange rate (USD/euro),Developing Asia real GDP growth,Developing Asia inflation,"Developing Asia bilateral dollar exchange rate (F/USD, index)",Japan real GDP growth,Japan inflation,Japan bilateral dollar exchange rate (yen/USD),U.K. real GDP growth,U.K. inflation,U.K. bilateral dollar exchange rate (USD/pound)
Actual,1982 Q1,1.7,,,,,,5.7,2.0,248.3,0.7,8.0,1.781
Actual,1982 Q2,0.5,,,,,,2.7,1.3,255.0,4.3,7.8,1.736
Actual,1982 Q3,-2.1,,,,,,1.6,3.9,268.3,1.0,4.3,1.695
Actual,1982 Q4,0.2,,,,,,6.0,2.7,234.7,2.8,4.4,1.618
Actual,1983 Q1,2.7,,,,,,2.0,0.3,239.0,7.6,3.4,1.483
Actual,1983 Q2,2.6,,,,,,3.4,2.5,239.3,3.4,3.0,1.533
Actual,1983 Q3,1.0,,,,,,5.6,0.5,235.7,4.4,8.0,1.498
Actual,1983 Q4,4.4,,,,,,3.0,3.3,231.7,3.4,5.6,1.452
Actual,1984 Q1,3.5,,,,,,4.7,3.3,224.8,2.8,3.7,1.438
Actual,1984 Q2,-1.9,,,,,,7.9,1.1,237.3,-3.5,3.4,1.358
Actual,1984 Q3,4.2,,,,,,3.0,1.3,246.9,2.6,6.1,1.234
Actual,1984 Q4,2.1,,,,,,1.6,3.9,251.6,8.1,6.1,1.158
Actual,1985 Q1,0.9,,,,,,5.1,2.4,251.0,3.2,6.3,1.236
Actual,1985 Q2,3.9,,,,,,8.1,1.1,248.4,8.8,9.6,1.310
Actual,1985 Q3,3.4,,,,,,6.1,1.7,216.5,0.4,3.6,1.409
Actual,1985 Q4,2.4,,,,,,6.9,0.9,200.3,1.0,2.5,1.445
Actual,1986 Q1,-1.4,,,,,,-0.4,2.4,177.6,4.6,4.0,1.474
Actual,1986 Q2,7.5,,,,,,1.5,-1.5,163.8,3.0,1.0,1.532
Actual,1986 Q3,2.0,,,,,,2.7,-0.8,154.4,1.8,3.2,1.447
Actual,1986 Q4,1.0,,,,,,5.1,-0.8,158.3,7.3,5.7,1.483
Actual,1987 Q1,-1.9,,,,,,0.8,-0.2,145.7,3.8,6.1,1.607
Actual,1987 Q2,6.9,,,,,,7.8,2.2,146.8,6.0,1.9,1.613
Actual,1987 Q3,4.4,,,,,,7.6,0.6,146.5,10.1,3.8,1.625
Actual,1987 Q4,5.2,,,,,,11.2,0.3,121.3,4.6,4.7,1.886
Actual,1988 Q1,2.2,,,,,,6.9,0.2,124.1,7.3,2.8,1.887
Actual,1988 Q2,3.7,,,,,,2.3,-0.3,133.5,2.4,3.1,1.709
Actual,1988 Q3,5.0,,,,,,7.5,2.2,133.9,6.2,5.7,1.691
Actual,1988 Q4,3.8,,,,,,4.8,2.5,125.1,3.5,5.0,1.809
Actual,1989 Q1,4.8,,,,,,8.7,-0.2,132.8,1.8,6.1,1.685
Actual,1989 Q2,3.9,,,,,,-4.2,6.4,144.0,2.7,4.1,1.549
Actual,1989 Q3,2.4,,,,,,6.3,2.4,139.6,0.4,5.1,1.615
Actual,1989 Q4,4.2,,,,,,12.0,1.8,143.8,0.4,6.6,1.615
Actual,1990 Q1,5.5,,,,,,-2.8,3.6,157.8,2.7,7.7,1.648
Actual,1990 Q2,1.8,3.1,,,,,11.0,2.2,152.4,2.1,7.3,1.745
Actual,1990 Q3,3.8,3.7,,,,,7.9,2.8,138.3,-4.1,8.5,1.874
Actual,1990 Q4,2.3,5.7,,,,,-0.4,5.7,135.8,-1.4,7.9,1.929
Actual,1991 Q1,2.8,3.5,,,,,4.2,4.1,140.6,-1.2,4.3,1.749
Actual,1991 Q2,1.2,3.5,,,,,3.6,1.1,137.9,-0.5,12.7,1.618
Actual,1991 Q3,-0.1,5.2,,,,,-0.2,1.9,132.9,-0.9,6.2,1.752
Actual,1991 Q4,3.9,4.0,,,,,3.0,4.2,124.9,0.7,5.1,1.866
Actual,1992 Q1,6.2,3.3,,,,,0.6,0.1,132.9,0.0,3.9,1.736
Actual,1992 Q2,-3.0,3.7,,,,,0.0,3.3,125.9,-0.5,2.1,1.904
Actual,1992 Q3,-1.1,2.5,,,,,1.5,-0.3,120.0,2.6,1.7,1.779
Actual,1992 Q4,-0.8,3.0,,,,,-2.6,1.0,124.9,2.8,3.2,1.513
Actual,1993 Q1,-2.7,4.0,,,,,2.2,1.3,114.9,2.9,2.2,1.509
Actual,1993 Q2,0.3,3.0,,,,,-3.4,1.5,106.8,2.0,3.0,1.493
Actual,1993 Q3,1.7,3.1,,,,,-2.0,3.2,106.1,3.2,3.1,1.496
Actual,1993 Q4,1.1,2.8,,,,,1.6,-1.8,111.7,2.7,1.5,1.478
Actual,1994 Q1,3.8,2.8,,,,,4.5,2.1,102.4,4.8,1.7,1.488
Actual,1994 Q2,2.5,2.3,,,,,-2.2,-0.5,98.5,4.7,1.9,1.548
Actual,1994 Q3,2.7,2.7,,,,,4.7,0.3,99.1,4.6,1.8,1.577
Actual,1994 Q4,3.2,2.3,,,,,-1.6,1.5,99.6,2.4,1.8,1.567
Actual,1995 Q1,2.2,2.5,,,,,4.5,-0.7,86.9,1.6,4.0,1.619
Actual,1995 Q2,2.2,2.6,,,,,3.8,-1.1,84.8,1.5,2.6,1.591
Actual,1995 Q3,0.9,2.0,,,,,4.8,0.3,99.1,3.9,2.8,1.580
Actual,1995 Q4,1.4,2.3,,,,,1.0,-1.0,103.3,0.7,1.9,1.554
Actual,1996 Q1,0.6,1.9,,,,,3.4,0.5,107.0,2.3,3.1,1.526
Actual,1996 Q2,3.1,2.3,,,,,5.2,0.5,109.5,1.4,2.1,1.553
Actual,1996 Q3,2.1,1.0,,6.3,6.0,89.4,0.5,0.7,111.7,4.7,2.0,1.565
Actual,1996 Q4,1.9,1.8,,10.1,4.3,90.1,4.5,0.3,115.8,5.5,2.3,1.712
Actual,1997 Q1,0.9,2.3,,5.6,3.2,91.3,1.1,1.0,123.7,7.8,1.4,1.645
Actual,1997 Q2,5.1,0.3,,8.5,2.8,91.3,-3.0,6.4,114.6,3.6,1.0,1.665
Actual,1997 Q3,3.2,2.0,,4.3,3.0,92.3,0.8,1.2,120.7,2.8,3.1,1.612
Actual,1997 Q4,4.7,1.6,,6.0,2.2,110.5,0.1,0.3,130.5,4.8,1.6,1.643
Actual,1998 Q1,2.7,0.7,,-1.9,8.2,103.2,-4.8,0.4,133.3,3.7,0.8,1.677
Actual,1998 Q2,1.8,1.0,,4.1,1.7,105.4,-1.7,-0.4,138.3,3.8,2.0,1.670
Actual,1998 Q3,2.3,1.2,,7.4,3.3,105.7,0.7,-1.1,136.6,2.9,1.1,1.700
Actual,1998 Q4,0.4,0.4,,9.8,2.6,101.8,3.3,3.2,113.1,3.9,1.6,1.663
Actual,1999 Q1,4.2,0.8,1.081,5.8,-3.0,102.7,-5.4,-2.2,118.4,2.4,1.7,1.614
Actual,1999 Q2,2.3,1.4,1.031,9.7,-1.6,101.5,1.5,-0.8,120.9,0.7,1.2,1.577
Actual,1999 Q3,4.8,2.0,1.064,8.3,1.3,102.5,2.1,-0.3,106.8,7.0,0.3,1.646
Actual,1999 Q4,4.7,1.8,1.007,10.5,2.3,100.9,0.1,-0.8,102.2,6.0,1.3,1.615
Actual,2000 Q1,4.9,2.6,0.957,7.3,1.5,100.0,7.0,-0.5,102.7,3.3,0.5,1.592
Actual,2000 Q2,3.6,0.9,0.955,6.9,-0.3,100.7,1.9,-1.1,106.1,2.4,0.4,1.513
Actual,2000 Q3,2.2,3.4,0.884,7.8,2.2,101.4,0.1,-0.3,107.9,1.2,1.0,1.479
Actual,2000 Q4,2.8,2.8,0.939,3.6,2.5,105.2,3.9,-1.1,114.4,0.9,1.9,1.496
Actual,2001 Q1,4.1,1.2,0.879,4.8,1.7,106.1,3.0,0.7,125.5,4.7,0.1,1.419
Actual,2001 Q2,0.3,4.0,0.847,5.3,2.1,106.2,-3.0,-2.3,124.7,3.1,3.1,1.408
Actual,2001 Q3,0.5,1.5,0.910,4.9,1.3,106.5,-4.3,-0.5,119.2,3.1,1.0,1.469
Actual,2001 Q4,0.5,1.7,0.890,8.4,0.0,106.9,-1.4,-1.9,131.0,1.6,0.0,1.454
Actual,2002 Q1,0.2,3.1,0.872,7.8,0.5,107.4,0.7,-1.1,132.7,1.6,1.9,1.425
Actual,2002 Q2,2.2,2.0,0.986,8.1,1.1,104.8,3.3,0.1,119.9,2.0,0.9,1.525
Actual,2002 Q3,1.7,1.6,0.988,7.3,1.5,105.5,1.3,-0.4,121.7,2.7,1.4,1.570
Actual,2002 Q4,0.6,2.3,1.049,6.7,0.8,104.5,1.1,-0.8,118.8,3.2,1.9,1.610
Actual,2003 Q1,-1.3,3.3,1.090,6.6,3.6,105.5,0.2,0.0,118.1,3.0,1.6,1.579
Actual,2003 Q2,0.4,0.5,1.150,1.9,1.1,104.0,2.8,0.3,119.9,3.7,0.3,1.653
Actual,2003 Q3,2.3,2.1,1.165,14.6,0.1,102.6,1.2,-0.5,111.4,4.6,1.7,1.662
Actual,2003 Q4,2.9,2.3,1.260,12.8,5.5,103.4,4.4,-1.0,107.1,3.8,1.6,1.784
Actual,2004 Q1,2.0,2.2,1.229,5.8,4.0,101.4,3.0,0.8,104.2,1.4,1.3,1.840
Actual,2004 Q2,2.5,2.6,1.218,7.1,4.1,102.8,0.0,-0.4,109.4,1.5,1.0,1.813
Actual,2004 Q3,1.0,2.0,1.242,8.2,4.1,102.7,2.5,-0.1,110.2,0.7,1.1,1.809
Actual,2004 Q4,1.4,2.4,1.354,6.3,0.8,98.9,-0.8,1.9,102.7,1.0,2.4,1.916
Actual,2005 Q1,1.0,1.4,1.297,10.6,2.9,98.5,2.1,-1.2,107.2,3.2,2.5,1.889
Actual,2005 Q2,2.3,2.2,1.210,8.7,1.5,98.9,3.2,-1.0,110.9,4.8,1.9,1.793
Actual,2005 Q3,3.1,3.1,1.206,9.4,2.4,98.5,4.2,-1.0,113.3,4.3,2.7,1.770
Actual,2005 Q4,2.5,2.5,1.184,11.6,1.6,98.1,0.7,0.1,117.9,5.6,1.4,1.719
Actual,2006 Q1,3.7,1.7,1.214,10.9,2.4,96.7,0.6,1.2,117.5,1.9,1.9,1.739
Actual,2006 Q2,4.4,2.5,1.278,7.2,3.2,96.6,0.7,0.4,114.5,1.1,3.0,1.849
Actual,2006 Q3,2.3,2.0,1.269,10.1,2.2,96.2,-0.8,0.4,118.0,0.4,3.3,1.872
Actual,2006 Q4,4.8,0.9,1.320,11.4,3.6,94.5,5.4,-0.5,119.0,1.9,2.6,1.959
Actual,2007 Q1,2.6,2.3,1.337,13.9,3.6,93.9,2.6,-0.7,117.6,3.8,2.6,1.969
Actual,2007 Q2,2.8,2.3,1.352,10.6,4.9,91.8,0.2,0.4,123.4,2.3,1.7,2.006
Actual,2007 Q3,1.7,2.1,1.422,8.6,7.6,90.5,-2.1,0.3,115.0,3.1,0.2,2.039
Actual,2007 Q4,2.3,4.9,1.460,13.1,5.9,89.4,1.6,2.2,111.7,2.1,4.0,1.984
Actual,2008 Q1,1.7,4.2,1.581,7.1,8.1,88.0,1.4,1.2,99.9,2.2,3.7,1.986
Actual,2008 Q2,-1.2,3.2,1.575,6.0,6.3,88.7,-2.2,1.8,106.2,-2.2,5.7,1.991
Actual,2008 Q3,-2.1,3.2,1.408,2.9,3.0,91.6,-4.8,3.4,105.9,-6.1,5.8,1.780
Actual,2008 Q4,-6.9,-1.4,1.392,0.6,-1.1,92.3,-9.6,-2.1,90.8,-8.0,0.5,1.462
Actual,2009 Q1,-12.0,-1.0,1.326,4.2,-1.4,94.3,-17.9,-3.6,99.2,-6.6,-0.1,1.430
Actual,2009 Q2,-0.1,0.0,1.402,15.0,2.3,92.3,8.2,-1.6,96.4,-0.8,2.2,1.645
Actual,2009 Q3,1.6,1.1,1.463,12.6,4.1,91.3,-0.1,-1.4,89.5,0.5,3.5,1.600
Actual,2009 Q4,1.8,1.6,1.433,9.7,5.0,90.7,4.9,-1.5,93.1,1.4,3.0,1.617
Actual,2010 Q1,1.7,1.8,1.353,9.6,4.4,89.8,4.3,1.0,93.4,2.6,4.0,1.519
Actual,2010 Q2,3.9,1.9,1.229,9.5,3.4,91.1,5.0,-1.4,88.5,4.2,3.2,1.495
Actual,2010 Q3,1.8,1.6,1.360,8.7,4.2,88.4,7.5,-1.9,83.5,3.0,2.3,1.573
Actual,2010 Q4,2.5,2.6,1.327,9.6,7.5,87.4,-3.3,1.3,81.7,0.1,4.0,1.539
Actual,2011 Q1,3.4,3.7,1.418,9.7,6.2,86.5,-4.2,-0.1,82.8,1.5,6.7,1.605
Actual,2011 Q2,0.0,3.1,1.452,6.8,5.4,85.3,-3.3,-0.7,80.6,0.3,4.7,1.607
Actual,2011 Q3,0.5,1.3,1.345,5.6,5.3,87.4,10.1,0.3,77.0,1.4,3.7,1.562
Actual,2011 Q4,-1.5,3.5,1.297,6.5,3.0,87.3,-0.6,-0.6,77.0,0.5,3.4,1.554
Actual,2012 Q1,-0.9,2.9,1.333,7.7,3.2,86.3,5.7,2.2,82.4,2.8,2.1,1.599
Actual,2012 Q2,-1.1,2.2,1.267,5.8,3.9,88.1,-3.6,-1.4,79.8,-0.6,2.0,1.569
Actual,2012 Q3,-0.5,1.5,1.286,6.6,2.2,86.3,-1.5,-1.9,77.9,5.0,2.2,1.613
Actual,2012 Q4,-1.6,2.5,1.319,7.2,3.5,86.0,-0.3,0.1,86.6,-0.9,4.0,1.626
Actual,2013 Q1,-1.5,1.3,1.282,6.8,4.6,86.3,5.6,0.6,94.2,2.1,2.9,1.519
Actual,2013 Q2,2.2,0.2,1.301,6.3,2.8,87.2,3.6,0.0,99.2,3.3,1.7,1.521
Actual,2013 Q3,1.3,1.1,1.354,7.7,3.5,86.6,3.9,2.7,98.3,3.8,2.1,1.618
Actual,2013 Q4,1.0,0.5,1.378,6.8,4.0,85.8,-0.5,2.6,105.3,2.6,1.6,1.657
Actual,2014 Q1,1.7,1.0,1.378,6.2,1.4,86.9,3.3,1.0,103.0,3.1,1.9,1.668
Actual,2014 Q2,0.9,-0.3,1.369,7.4,2.6,86.7,-7.1,8.3,101.3,2.6,1.4,1.711
Actual,2014 Q3,1.8,0.1,1.263,6.5,2.4,87.0,0.4,1.8,109.7,2.3,0.7,1.622
Actual,2014 Q4,1.6,-0.1,1.210,5.7,1.1,88.1,2.0,-0.8,119.9,2.4,-0.4,1.558
Actual,2015 Q1,2.8,-0.7,1.074,6.4,0.9,88.1,6.3,0.4,120.0,2.2,-1.1,1.485
Actual,2015 Q2,1.7,2.5,1.115,6.9,2.8,88.5,0.4,0.8,122.1,3.0,0.7,1.573
Actual,2015 Q3,1.8,-0.2,1.116,6.3,2.7,91.1,0.4,0.5,119.8,1.6,0.6,1.512
Actual,2015 Q4,1.8,-0.4,1.086,5.6,1.2,92.3,-0.4,-1.1,120.3,2.7,0.1,1.475
Actual,2016 Q1,2.2,-1.4,1.139,7.2,3.0,91.8,2.9,-0.4,112.4,0.8,0.0,1.438
Actual,2016 Q2,1.0,1.5,1.103,7.0,2.9,94.3,-0.8,-0.1,102.8,1.8,0.7,1.324
Actual,2016 Q3,1.8,1.2,1.124,6.4,1.2,93.7,0.8,-0.4,101.2,1.2,2.0,1.302
Actual,2016 Q4,3.1,1.7,1.055,5.9,1.7,97.6,1.2,2.0,116.8,2.4,2.1,1.234
Actual,2017 Q1,3.0,2.7,1.070,6.4,1.2,95.2,3.0,-0.5,111.4,2.0,3.8,1.254
Actual,2017 Q2,2.8,0.5,1.141,6.4,2.3,94.8,1.0,0.7,112.4,1.2,3.1,1.300
Actual,2017 Q3,3.1,0.9,1.181,6.3,2.3,93.7,3.2,0.4,112.6,1.7,2.2,1.340
Actual,2017 Q4,3.4,1.5,1.202,6.5,2.6,91.1,1.6,1.9,112.7,1.4,3.0,1.353
Actual,2018 Q1,0.8,2.2,1.232,7.7,2.4,89.1,-0.1,2.3,106.2,0.3,2.5,1.403
Actual,2018 Q2,1.8,2.2,1.168,5.6,2.0,93.5,0.2,-1.8,110.7,1.5,2.0,1.320
Actual,2018 Q3,0.4,2.5,1.162,3.5,3.0,97.2,-2.6,2.3,113.5,2.4,2.5,1.305
Actual,2018 Q4,2.0,0.8,1.146,6.6,1.1,96.2,1.8,0.4,109.7,0.7,2.1,1.276
Actual,2019 Q1,1.9,0.3,1.123,7.6,1.0,94.7,2.3,0.1,110.7,2.2,0.9,1.303
Actual,2019 Q2,0.8,2.1,1.137,4.8,5.1,96.4,0.3,0.7,107.8,0.6,2.7,1.270
Actual,2019 Q3,0.8,0.6,1.091,1.0,3.5,99.8,0.7,0.3,108.1,2.0,1.6,1.231
Actual,2019 Q4,0.5,1.0,1.123,7.3,6.4,98.0,-7.2,0.9,108.7,0.1,0.5,1.327
Actual,2020 Q1,-14.1,0.7,1.102,-24.4,3.8,101.9,-2.1,0.3,107.5,-11.5,1.9,1.245
Actual,2020 Q2,-39.2,-1.4,1.124,34.8,-1.9,97.3,-29.2,-1.2,107.8,-56.4,-1.4,1.237
Actual,2020 Q3,59.9,-0.4,1.172,21.8,2.2,95.5,22.9,0.8,105.6,81.1,1.4,1.292
Actual,2020 Q4,-9.9,0.6,1.223,12.2,1.6,92.3,4.5,-3.1,103.2,-15.2,1.0,1.366
